problem_id,problem_type,method,candidate_id,objective_consensus_score,safe_consensus_score,wrong_consensus_risk,critical_missing_count,constraint_coverage,objective_term_coverage,structure_score,posthoc_objective_correct,posthoc_note
multi_item_capacity_0002,multi_item_capacity,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k5,0.8571428571428571,0.31232142857142864,0.5448214286,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0011,multi_item_capacity,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k0,1.0,0.3643750000000001,0.635625,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0015,multi_item_capacity,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k5,1.0,0.3643750000000001,0.635625,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0017,multi_item_capacity,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k2,1.0,0.3643750000000001,0.635625,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0000,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k1,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0001,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k6,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0002,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k6,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0005,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k3,1.0,0.5022222222222222,0.4977777778,0.0,0.6666666666666666,0.0,0.5555555555555556,0.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0006,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k4,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0007,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k2,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0008,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k2,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0009,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k4,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0010,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k2,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0011,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k1,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0014,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k2,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0017,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k6,1.0,0.4411111111111111,0.5588888889,0.0,0.4444444444444444,0.0,0.43333333333333335,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0018,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k3,0.75,0.5895833333333333,0.1604166667,0.0,1.0,0.3333333333333333,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0019,single_period_newsvendor,ReplenishVerifier-TypeAware-Consensus,Qwen3-8B_k2,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0002,multi_item_capacity,ReplenishVerifier-Full,Qwen3-8B_k0,0.8571428571428571,0.31232142857142864,0.5448214286,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0011,multi_item_capacity,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.3643750000000001,0.635625,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0015,multi_item_capacity,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.3643750000000001,0.635625,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
multi_item_capacity_0017,multi_item_capacity,ReplenishVerifier-Full,Qwen3-8B_k2,1.0,0.3643750000000001,0.635625,1.0,0.875,1.0,0.71875,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0000,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0001,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0002,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k6,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0005,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k3,1.0,0.5022222222222222,0.4977777778,0.0,0.6666666666666666,0.0,0.5555555555555556,0.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0006,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0007,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0008,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k2,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0009,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0010,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0011,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0014,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0017,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k6,1.0,0.4411111111111111,0.5588888889,0.0,0.4444444444444444,0.0,0.43333333333333335,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0018,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k3,0.75,0.5895833333333333,0.1604166667,0.0,1.0,0.3333333333333333,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
single_period_newsvendor_0019,single_period_newsvendor,ReplenishVerifier-Full,Qwen3-8B_k0,1.0,0.8594444444444447,0.1405555556,0.0,1.0,0.6666666666666666,0.8611111111111112,1.0,posthoc objective correctness is diagnostic-only
