method,n,average_runtime_sec,median_runtime_sec,average_repair_feedback_count
Best-of-K,100,0.10335744982119649,0.10498973849462345,0.24
Consensus only,100,0.10071049242164008,0.10286248096963391,0.3
Direct,100,0.1062320330843795,0.10806067497469485,0.24
ReplenishVerifier-ConsensusSafe,100,0.10295349586056546,0.10498973849462345,0.07
ReplenishVerifier-Full,100,0.10845292504294775,0.10908897849731147,0.19
ReplenishVerifier-FullV2,100,0.10845292504294775,0.10908897849731147,0.07
ReplenishVerifier-HybridSafe,100,0.10295349586056546,0.10498973849462345,0.07
ReplenishVerifier-TypeAware,100,0.1019791330222506,0.10493542143376544,0.06
ReplenishVerifier-TypeAware-Consensus,100,0.10333009669091553,0.10498973849462345,0.07
Solver only,100,0.10026065176236443,0.1017478455323726,0.29
Structure only,100,0.10831638662260958,0.10869494255166501,0.19
