method,n,objective_accuracy_count,objective_accuracy_total,structure_complete_count,structure_complete_total,code_validity_rate,executable_rate,optimal_rate,solver_status_optimal_rate,solver_status_infeasible_rate,solver_status_timeout_rate,solver_status_error_rate,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap,structure_completeness,inventory_balance_accuracy,constraint_coverage,objective_term_surface_coverage,objective_term_lp_coefficient_coverage,objective_term_coverage,average_runtime_sec,median_runtime_sec,average_repair_feedback_count,objective_accuracy_ci_low,objective_accuracy_ci_high,structure_completeness_ci_low,structure_completeness_ci_high,constraint_coverage_ci_low,constraint_coverage_ci_high
Best-of-K,100,79,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.79,0.1490602381285941,0.0,0.1490602381285941,0.0,0.803203571428572,1.0,0.9394444444444444,0.9816666666666666,0.9175257731958765,0.9083333333333334,0.10509241259191185,0.10548981104511768,0.26,0.71,0.87,0.764665674603175,0.830512301587302,0.8936111111111111,0.9716666666666666
Consensus only,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.7895416666666661,1.0,0.9319444444444445,0.995,0.914089347079038,0.9116666666666667,0.10264730123220943,0.10396647354355082,0.32,0.75,0.9,0.7544757936507939,0.8169279761904765,0.8893055555555556,0.96375
Direct,100,70,100,0,100,1.0,0.91,0.78,0.78,0.12,0.0,0.09,0.7,0.1432223652661633,0.0,0.1432223652661633,0.0,0.7489063492063489,1.0,0.8841666666666665,1.0,0.9194139194139199,0.926666666666667,0.10710286528454162,0.10812218202045187,0.21,0.62,0.79,0.6980817460317461,0.7914765873015877,0.8245833333333333,0.9341666666666667
ReplenishVerifier-ConsensusSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.1049287864274811,0.10707192355766892,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-Full,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.1107699555112049,0.10921559104463086,0.22,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-FullV2,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.11543912375010025,0.0,0.11543912375010025,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.1107699555112049,0.10921559104463086,0.08,0.76,0.9,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
ReplenishVerifier-HybridSafe,100,83,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.83,0.12207044617125418,0.0,0.12207044617125418,0.0,0.8067105158730163,1.0,0.9444444444444444,1.0,0.9209621993127148,0.9233333333333333,0.1049287864274811,0.10707192355766892,0.08,0.75,0.9,0.7688103174603182,0.8344531746031749,0.901111111111111,0.9773611111111111
ReplenishVerifier-TypeAware,100,83,100,0,100,1.0,0.93,0.87,0.87,0.06,0.0,0.07,0.83,0.02716798195453856,0.0,0.02716798195453856,0.0,0.7805994047619054,1.0,0.9136111111111112,1.0,0.9318996415770608,0.9366666666666665,0.10347915715770796,0.1068684309720993,0.06,0.75,0.9,0.7345488095238102,0.8199849206349209,0.8608333333333335,0.9602777777777777
ReplenishVerifier-TypeAware-Consensus,100,85,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.85,0.11539140538885227,0.0,0.11539140538885227,0.0,0.8072660714285721,1.0,0.9444444444444444,0.9866666666666666,0.9209621993127148,0.9166666666666667,0.1065681694552768,0.10707192355766892,0.08,0.78,0.92,0.7696301587301594,0.8352865079365084,0.901111111111111,0.9773611111111111
Solver only,100,77,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.77,0.1625847721523761,0.0,0.1625847721523761,0.0,0.7898107142857139,1.0,0.9319444444444445,0.995,0.914089347079038,0.9116666666666667,0.10236309448024258,0.1026707190903835,0.32,0.69,0.85,0.7541448412698414,0.8172420634920641,0.8893055555555556,0.96375
Structure only,100,82,100,0,100,1.0,0.97,0.87,0.87,0.08,0.0,0.03,0.82,0.13069974205493387,0.0,0.13069974205493387,0.0,0.807578571428572,1.0,0.9444444444444444,0.9866666666666666,0.9072164948453612,0.9033333333333335,0.1098520498489961,0.10967037605587393,0.22,0.74,0.89,0.7699426587301593,0.8354194444444452,0.901111111111111,0.9773611111111111
