method,n_common,oracle_objective_available_count,missed_oracle_objective_count,missed_oracle_objective_rate,oracle_structure_available_count,missed_oracle_structure_count,missed_oracle_structure_rate,oracle_both_available_count,missed_oracle_both_count,missed_oracle_both_rate
Best-of-K,100,85,6,0.07058823529411765,0,0,0.0,0,0,0.0
Consensus only,100,85,5,0.058823529411764705,0,0,0.0,0,0,0.0
Direct,100,85,18,0.21176470588235294,0,0,0.0,0,0,0.0
ReplenishVerifier-ConsensusSafe,100,85,5,0.058823529411764705,0,0,0.0,0,0,0.0
ReplenishVerifier-Full,100,85,4,0.047058823529411764,0,0,0.0,0,0,0.0
ReplenishVerifier-FullV2,100,85,4,0.047058823529411764,0,0,0.0,0,0,0.0
ReplenishVerifier-HybridSafe,100,85,5,0.058823529411764705,0,0,0.0,0,0,0.0
ReplenishVerifier-TypeAware,100,85,5,0.058823529411764705,0,0,0.0,0,0,0.0
ReplenishVerifier-TypeAware-Consensus,100,85,3,0.03529411764705882,0,0,0.0,0,0,0.0
Solver only,100,85,11,0.12941176470588237,0,0,0.0,0,0,0.0
Structure only,100,85,4,0.047058823529411764,0,0,0.0,0,0,0.0
